date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-03-16,117.39,107.2,103.8,100.0,98.07,103.6,110.57,142.35,138.03,117.12,103.2,91.51,85.41,78.51,80.47,84.9,95.46,119.23,131.88,130.02,102.5,101.8,88.2,81.7
2023-03-17,90.0,90.0,89.35,75.55,79.0,81.59,119.24,140.6,134.0,103.9,97.7,92.4,78.15,90.63,89.51,99.03,109.54,126.76,139.9,163.71,139.9,129.19,119.9,128.75
2023-03-18,120.16,119.1,100.0,95.0,96.18,99.8,103.5,105.43,100.76,102.65,97.02,91.15,84.06,80.42,87.52,92.08,104.43,130.74,156.95,169.54,144.15,132.92,129.95,118.46
2023-03-19,110.03,106.0,99.6,99.18,98.74,103.36,100.0,102.45,101.44,102.26,100.56,99.29,97.46,94.04,95.01,98.67,106.09,134.62,145.0,152.91,144.71,135.27,132.9,130.0
2023-03-20,124.0,114.94,113.06,110.18,110.25,116.4,135.77,148.43,148.51,137.56,122.75,115.79,104.58,99.94,101.69,104.72,113.82,132.82,150.96,165.47,152.36,135.49,127.5,117.04
2023-03-21,120.79,112.28,111.56,108.65,110.0,118.21,129.79,145.47,143.43,128.5,115.0,106.67,101.91,99.48,96.09,98.25,101.12,112.94,132.04,143.26,112.34,101.0,92.18,90.36
2023-03-22,77.06,73.19,73.39,68.81,66.48,71.91,84.48,102.54,107.54,92.6,78.76,81.52,73.04,71.1,78.57,69.95,81.84,100.62,118.72,139.78,125.14,108.37,99.9,83.51
2023-03-23,67.93,65.93,55.66,46.65,32.46,55.79,80.58,92.22,95.0,74.9,41.4,35.03,35.37,36.41,50.9,54.0,89.39,119.47,136.86,144.37,122.04,92.03,88.85,77.54
2023-03-24,54.98,43.8,40.67,39.92,35.07,40.19,62.44,81.23,81.23,62.36,21.3,0.0,-10.0,-11.4,-4.66,4.9,29.32,79.43,100.8,116.23,96.7,82.47,76.2,64.9
2023-03-25,15.3,0.1,-3.0,-0.21,-1.15,-1.99,-2.37,0.0,0.0,-3.94,-7.99,-2.18,-6.67,-9.71,-9.53,-1.75,-1.01,31.92,75.0,99.98,99.9,97.55,98.0,97.6
2023-03-26,94.57,80.0,82.45,84.9,73.62,73.65,63.49,73.09,78.35,84.69,88.7,84.9,74.9,61.67,50.46,45.57,48.35,77.09,106.65,117.86,112.59,104.63,99.42,94.64
2023-03-27,96.0,91.71,87.48,83.99,84.9,86.59,115.0,142.99,149.38,85.0,60.1,50.75,0.0,0.0,-10.02,-20.02,0.0,63.98,100.4,135.91,189.0,144.7,113.58,94.8
2023-03-28,99.9,104.5,100.1,96.1,95.4,100.77,130.04,160.07,159.77,125.21,104.28,94.89,91.3,86.87,90.0,94.32,96.08,108.59,136.87,160.98,135.94,132.0,125.01,110.39
2023-03-29,96.65,95.0,95.4,98.04,98.0,99.2,117.04,144.13,152.0,144.17,130.0,119.0,110.98,105.6,101.55,104.94,105.9,125.79,143.19,149.83,132.26,114.92,109.9,94.8
2023-03-30,89.71,82.29,80.78,78.77,77.91,76.8,88.64,118.88,129.3,110.0,90.66,79.93,64.55,25.31,5.1,8.53,38.26,72.44,97.55,119.7,119.37,103.28,100.07,90.76
2023-03-31,65.13,64.9,57.1,48.62,64.9,73.96,109.22,121.37,124.55,132.0,105.18,105.68,89.47,76.94,81.3,78.17,77.64,99.05,112.61,114.53,109.67,98.83,86.73,80.0
2023-04-01,82.19,63.9,53.84,53.99,55.01,70.0,80.58,85.0,90.0,86.7,86.2,84.37,80.0,54.9,43.24,42.0,70.0,84.9,99.3,97.65,110.95,91.16,81.77,68.9
2023-04-02,81.0,69.9,58.51,60.46,58.51,60.46,58.72,70.08,75.55,66.09,40.01,23.3,-1.0,-3.99,-3.99,0.0,12.8,41.74,100.41,130.0,132.12,121.65,115.55,109.12
2023-04-03,115.22,112.72,113.89,108.53,100.43,110.07,139.63,168.99,179.84,140.0,92.18,68.14,71.61,49.2,71.58,78.91,82.0,100.35,133.77,158.11,165.89,148.79,132.07,113.12
2023-04-04,110.85,110.14,115.83,115.61,116.71,121.91,145.35,180.57,190.61,158.27,107.79,112.02,102.94,107.2,107.31,108.71,112.73,122.0,147.1,180.0,177.32,156.04,141.39,129.9
2023-04-05,127.34,118.13,119.54,118.18,124.8,134.29,165.99,207.92,180.75,144.53,112.0,113.89,111.17,109.66,111.04,110.96,116.29,135.6,156.52,199.56,191.68,164.98,151.39,139.13
